,Unnamed: 0,name,year,score,voters_count,plot
120,120, Kill Bill: Vol. 1,2003,8.2,1.2M,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
121,121, The NeverEnding Story,1984,7.3,156K,A troubled boy dives into a wondrous fantasy world through the pages of a mysterious book.
122,122, American Pie,1999,7.0,432K,Four teenage boys enter a pact to lose their virginity by prom night.
123,123, Bram Stoker's Dracula,1992,7.4,237K,The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.
124,124, Full Metal Jacket,1987,8.3,788K,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
125,125, The Last Samurai,2003,7.8,469K,"Nathan Algren, a US army veteran, is hired by the Japanese emperor to train his army in the modern warfare techniques. Nathan finds himself trapped in a struggle between two eras and two worlds."
126,126, Stand by Me,1986,8.1,440K,A writer recounts a childhood journey with his friends to find the body of a missing boy.
127,127, Dead Poets Society,1989,8.1,542K,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression."
128,128, Fried Green Tomatoes,1991,7.7,83K,"Evelyn, an ordinary housewife, visits a nursing home and befriends the old lady Ninny. Together, they bond over stories from the past about two intrepid women of Whistle Stop Cafe."
129,129, Lolita,1997,6.8,66K,"An English professor falls for a minor, and has to face the consequences of his actions."
130,130, Sexy Beast,2000,7.3,69K,"Brutal gangster Don Logan recruits ""retired"" safecracker Gal for one last job, but it goes badly for both of them."
131,131, Dolores Claiborne,1995,7.4,48K,A big city reporter travels to a small town where her mother has been arrested for the murder of an elderly woman for whom she worked as a housekeeper.
132,132, Blood Simple,1984,7.5,105K,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies, and mischief ensues after he devises a plot to have them murdered."
133,133, Howl's Moving Castle,2004,8.2,446K,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
134,134, The Patriot,2000,7.2,293K,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.
135,135, The Three Musketeers,1993,6.4,59K,"France, 1625: Young d'Artagnan heads to Paris to join the Musketeers but the evil cardinal has disbanded them - save 3. He meets the 3, Athos, Porthos and Aramis, and joins them on their quest to save the king and country."
136,136, Planet of the Apes,2001,5.7,228K,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans."
137,137, Sin City,2005,8.0,792K,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
138,138, A League of Their Own,1992,7.3,120K,Two sisters join the first female professional baseball league and struggle to help it succeed amid their own growing rivalry.
139,139, Mulholland Drive,2001,7.9,382K,"After a car wreck on Mulholland Drive renders a woman amnesiac, she and a Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
140,140, Dazed and Confused,1993,7.6,199K,The adventures of high school and junior high students on the last day of school in May 1976.
141,141, The Fugitive,1993,7.8,317K,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
142,142, The Breakfast Club,1985,7.8,435K,Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.
143,143, American History X,1998,8.5,1.2M,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
144,144, Twister,1996,6.5,212K,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes."
145,145, Harry Potter and the Prisoner of Azkaban,2004,7.9,688K,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
146,146, Jaws,1975,8.1,657K,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
147,147, My Cousin Vinny,1992,7.6,140K,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience."
148,148, Happy Gilmore,1996,7.0,247K,After his grandmothers house is repossessed by the IRS. A bad tempered hockey player takes his talents to golf to earn the big bucks and get his grandmothers house back.
149,149, Clue,1985,7.2,109K,"Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up."
150,150, Ferris Bueller's Day Off,1986,7.8,385K,"A popular high school student, admired by his peers, decides to take a day off from school and goes to extreme lengths to pull it off, to the chagrin of his Dean, who'll do anything to stop him."
151,151, Clueless,1995,6.9,244K,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other."
152,152, Office Space,1999,7.6,287K,Three company workers who hate their jobs decide to rebel against their greedy boss.
153,153, From Dusk Till Dawn,1996,7.2,339K,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results."
154,154, Scream,1996,7.4,387K,"A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game."
155,155, A Beautiful Mind,2001,8.2,984K,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery."
156,156, Reservoir Dogs,1992,8.3,1.1M,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
